id,task,lang,prompt,reference,output,latency_s,status,error,model,temperature,input_tokens,output_tokens,total_tokens
11,factual_qa,hi,एक सप्ताह में कितने दिन होते हैं?,7,"एक सप्ताह में **7 दिन** होते हैं:

- सोमवार  
- मंगलवार  
- बुधवार  
- गुरुवार  
- शुक्रवार  
- शनिवार  
- रविवार",5.9247,success,,sarvam-105b,0.0,18,279,297
12,factual_qa,hi,पानी का रासायनिक सूत्र क्या है?,H₂O,"पानी का केमिकल फॉर्मूला **H₂O** है।  
इसका मतलब है कि हर पानी के मॉलिक्यूल में ये होते हैं:

- **2 हाइड्रोजन एटम्स** (H)  
- **1 ऑक्सीजन एटम** (O)  

सिस्टर का फॉर्मूला हाफ-स्ट्रक्चर H–O–H बताता है, जिसमें ऑक्सीजन एटम दोनों हाइड्रोजन एटम्स के साथ जुड़ा होता है।  

(प्योर पानी का मोलर मास लगभग 18.015 g mol⁻¹ होता है। इसके आइसोटोपिक रूप में जहाँ ऑक्सीजन-18 होता है – H₂¹⁸O – या ड्यूटेरियम (ड्यूटेरियम, D) होता है – D₂O, जिसे ""हैवी वाटर"" कहते हैं।)",4.8702,success,,sarvam-105b,0.0,17,323,340
13,factual_qa,hi,सूर्य के सबसे निकट कौन सा ग्रह है?,बुध,"सूर्य का सबसे नज़दीकी ग्रह **बुध (Mercury)** है।

- **औसत दूरी:** इसकी कक्षा का लगभग 0.39 AU (≈ 57.9 मिलियन किमी)।  
- **कक्षा (Orbit):** यह सूरज को लगभग हर 88 दिनों में एक बार चक्कर लगाता है, और हमारी धरती की तुलना में बहुत तेज़ी से घूमता है।  
- **कुछ खास बातें:** बुध हमारे सौरमंडल का सबसे छोटा ग्रह है, इसकी सतह पर बहुत ज़्यादा तापमान का अंतर होता है (दिन के समय 430 °C तक, रात में –180 °C तक), और यहाँ का वायुमंडल बहुत ही कमज़ोर है।

इसलिए, बुध सूरज के ""सबसे करीब"" रहने वाला ग्रह है।",5.3271,success,,sarvam-105b,0.0,19,344,363
14,factual_qa,hi,इंद्रधनुष में कितने रंग होते हैं?,7,"इंद्रधनुष किसी एक फिक्स सेट तक सीमित नहीं होता – इसकी रोशनी एक **कंटीन्यूअस स्पेक्ट्रम** (continuous spectrum) है, जिसमें कोई भी दो रंग आपस में ब्लेंड हो जाते हैं। लेकिन, हम अक्सर उस स्पेक्ट्रम को **सात अलग-अलग हिस्सों** में बांट देते हैं, जीस बात को न्यूटन ने मशहूर किया था और आज के समय में कलर-ह्यू डायग्राम में यही स्टैंडर्ड सिखाया जाता है:

1. **लाल (Red)**
2. **नारंगी (Orange)**
3. **पीला (Yellow)**
4. **हरा (Green)**
5. **नीला (Blue)**
6. **इंडिगो (Indigo)** – एक छोटा सा बैंड जो नीले और बैंगनी के बीच आता है
7. **बैंगनी (Violet)**

(indigo)
इसलिए, हालांकि फिजिक्स के हिसाब से इसके रंग अनगिनत हैं, लेकिन इस कंटीन्यूअस स्केल को *represent* करने के लिए **सात** नंबर सबसे ज्यादा इस्तेमाल किए जाते हैं।

*नोट*: कुछ मॉडर्न तरीके indigo को नीला ही मान लेते हैं या उसे छोड़ देते हैं, और फिर 6 मुख्य नाम (ROYGB) बचते हैं। फिर भी, आम तौर पर सात (ROYGBIV) नंबर ही याद रखा जाता है।",6.7866,success,,sarvam-105b,0.0,21,462,483
15,factual_qa,hi,भारत में स्वतंत्रता दिवस कब मनाया जाता है?,15 अगस्त,"भारत का स्वतंत्रता दिवस हर साल **15 अगस्त** को मनाया जाता है।

भारत अपना स्वतंत्रता दिवस **1947** में इसी दिन मनाता है। यह दिन भारत और पाकिस्तान की यूनाइटेड किंगडम से आज़ादी (स्वतंत्रता) मिलने की सालगिरह है।

1947 तक, भारत पर लगभग दो सदियों तक ब्रिटिश औपनिवेशिक शासन रहा। महात्मा गांधी, जवाहरलाल नेहरू और सरदार वल्लभभाई पटेल जैसे नेताओं की अगुवाई में लंबे और संघर्षपूर्ण भारत छोड़ो आंदोलन ने अंततः भारत को आज़ादी दिलाई।

**15 अगस्त को मनाए जाने वाले कुछ मुख्य कार्यक्रम इस प्रकार हैं:**

*   **राष्ट्रीय कार्यक्रम:** नई दिल्ली के ऐतिहासिक लाल किले में भारत के प्रधानमंत्री राष्ट्रीय ध्वज फहराते हैं और पूरे देश के नाम भाषण देते हैं।
*   **देश भर में जश्न:** इस दिन पूरे देश में राष्ट्रीय अवकाश होता है। राज्य की राजधानियों में मुख्यमंत्री झंडा फहराते हैं। स्कूल, कॉलेज और सरकारी कार्यालय समारोह आयोजित करते हैं जहाँ झंडा फहराया जाता है, सांस्कृतिक कार्यक्रम प्रस्तुत किए जाते हैं, और छात्रों व नागरिकों को भाषण दिए जाते हैं।
*   **परेड:** पूरे देश में, विशेष रूप से स्कूलों में, परेड निकाली जाती हैं।
*   **देशभक्ति की बहुत सी गतिविधियाँ:** लोग भारत का झंडा लगाकर, देशभक्ति के कार्यक्रम देखकर, और ""वंदे मातरम"" (राष्ट्रगान) गाकर अपनी देशभक्ति दिखाते हैं।

**भारतीय झंडा**, तिरंगा, सबसे आगे रहता है, जिसके तीन रंग हैं:
*   **केसरिया (Saffron):** ताकत और साहस का प्रतीक।
*   **सफेद (White):** शांति और सच्चाई का प्रतीक।
*   **हरा (Green):** विश्वास, उर्वरता और समृद्धि का प्रतीक।

इसके बीच में अशोक चक्र है, जो धार्मिकता को दर्शाता है, और यह लोकतंत्र में प्रगति का प्रतीक है।",18.5422,success,,sarvam-105b,0.0,19,1293,1312
16,factual_qa,hi,मानव शरीर में सामान्यतः कितने फेफड़े होते हैं?,2,"ज़्यादातर इंसानों में **दो फेफड़े** होते हैं—एक बायां और एक दायां।  

- **दायां फेफड़ा** थोड़ा बड़ा होता है और इसके तीन लोब (ऊपरी, बीचला और निचला) होते हैं।  
- **बायां फेफड़ा** थोड़ा छोटा होता है, जिसमें आमतौर पर दो लोब (ऊपरी और निचला) हों, क्योंकि छाती के बीच में दिल की जगह के लिए थोड़ी जगह चाहिए होती है।  

*(कुछ लोग जन्म से ही सिर्फ एक फेफड़े के साथ पैदा होते हैं, या सर्जिकल तरीके से उन्हें एक हटाना पड़ सकता है, लेकिन इंसान के लिए यह सामान्य और सामान्य नियम दो फेफड़ों का ही है।)*",5.777,success,,sarvam-105b,0.0,23,371,394
17,factual_qa,hi,पृथ्वी का एकमात्र प्राकृतिक उपग्रह कौन सा है?,चंद्रमा,"पृथ्वी का इकलौता प्राकृतिक उपग्रह **Moon** (जिसे **Luna** भी कहा जाता है) है। यह पृथ्वी के चारों ओर लगभग 384,400 किमी की दूरी पर चक्कर लगाता है, लगभग 27.3 दिनों में अपना एक चक्कर पूरा करता है, और यह उन कारणों में से एक है जिनकी वजह से हमारे यहाँ ज्वार-भाटा (tides) आते हैं। बृहस्पति (Jupiter), शनि (Saturn), और अन्य ग्रहों के कई उपग्रहों के विपरीत, इस सिस्टम में पृथ्वी का सिर्फ एक ही स्थायी प्राकृतिक उपग्रह है। (बाकी ""चंद्रमा"" कृत्रिम हैं—हमारे अपने बनाए गए स्पेसक्राफ्ट जो पृथ्वी पर या उसके आस-पास परिक्रमा करते हैं।)",6.5618,success,,sarvam-105b,0.0,20,449,469
18,factual_qa,ta,தமிழ்நாட்டின் தலைநகர் எது?,சென்னை,"தமிழ்நாட்டின் தலைநகரம் **சென்னை**.

முன்பு **மதுரை** என்று அழைக்கப்பட்ட இது, மாநிலத்தின் மிகப்பெரிய நகரமாக, அதன் கலாச்சாரம் DumpCandidates, பொருளாதாரம் மற்றும் தொழில்துறையின் முக்கிய மையமாகவும் விளங்குகிறது. ஜார்ஜியா கண்டத்தில் வங்காள விரிகுடா கடலோரத்தில் அமைந்துள்ள இது, தமிழ்நாளின அரசியல், நிர்வாக மற்றும் பொருளாதார மையமாகத் தொடர்ந்து செயல்பட்டு வருகிறது.",14.7627,success,,sarvam-105b,0.0,17,1018,1035
19,factual_qa,ta,ஒரு மணிநேரத்தில் எத்தனை நிமிடங்கள் உள்ளன?,60,"ஒரு மணி நேரத்துல **60** நிமிஷம் இருக்கு.

சமன்பாட்டு முறையில சொல்லணும்னா:

*   **1 மணி நேரம் = 60 நிமிஷம்**
*   **1 நிமிஷம் = 60 வினாடிகள்**",14.5317,success,,sarvam-105b,0.0,18,1038,1056
20,factual_qa,ta,சூரிய குடும்பத்தில் மிகப்பெரிய கிரகம் எது?,வியாழன்,"நமது சூரியக் குடும்பத்தில் உள்ள மிகப்ப பெரிய கோள் **Jupiter** (வியாழன்).

இது ஒரு கேஸ் ஜெயண்ட் (gas giant). மற்ற எல்லா கோள்களின் மொத்த எடையை விட இரண்டு மடங்குக்கும் அதிகமான எடையை இது கொண்டுள்ளது. இதன் அளவை இன்னும் கொஞ்சம் விரிவாகப் பார்ப்போம்:

*   **Mass (நிறை):** சுமார் 1.898 x 10²⁷ கிலோகிராம்.
*   **Diameter (விட்டம்):** சுமார் 139,820 கி.மீ (86,881 மைல்).
*   **Volume (கொள்ளளவு):** பூமி, ஷனி, யுரேனஸ் மற்றும் நெப்டியூன் ஆகிய அனைத்தையும் உள்ளடக்கிய ஒரு கோள்களின் குடும்பத்தை உள்ளே வைக்கும் அளவுக்கு இதன் கொள்ளளவு பெரியது.

இதை இன்னும் கொஞ்சம் புரிந்துகொள்ள:

*   **Jupiter-க்குள் சுமார் 1,300 பூமி கிரகங்களை** நீங்கள் ஒன்றன் மேல் ஒன்றாகப் பொருத்த முடியும்.
*   நீங்கள் **Jupiter பந்துக்கும்** பூமியின் அளவுள்ள பந்துக்கும் இடையில் தேர்ந்தெடுக்க வேண்டும் என்றால், வேறு எந்த யோசனையும் இல்லாமல் நீங்கள் Jupiter-ஐத் தான் தேர்ந்தெடுக்க வேண்டும், ஏனென்றால் மற்ற அனைத்து பூமி அளவிலான கிரகங்களையும் உள்ளடக்கிய ஒரு பந்தாகத் தான் அதைப் பார்க்க வேண்டும்.

**Jupiter-இன் சில முக்கிய அம்சங்கள்:**

*   **அமைதியான மேற்பரப்பு இல்லை:** இது ஒரு கேஸ் ஜெயண்ட். இதன் கண்ணுக்குத் தெரியும் முழுவதும் வாயுக்களால் ஆனது. இது ஒருவேளை ஆழமான பாறை மையத்தைக் கொண்டிருக்கலாம் என்றாலும், அதைப் போல செயல்படக்கூடிய உண்மையான திட மேற்பரப்பு இதற்கு இல்லை.
*   **அதிர்ச்சியூட்டும் நிலவுகள்:** இதன் ""நிலவுகள்"" கிரகத்திற்கு ஏன் முக்கியமானவை என்ற தலைப்புக்கு இணையாக இருக்கின்றன. Jupiter-க்கு **95 அறியப்பட்ட நிலவுகள்** உள்ளன, இதில் மிகப்பெரிய நான்கு நிலவுகள் (Io, Europa, Ganymede, மற்றும் Callisto) Galileo Galilei என்பவரால் கண்டுபிடிக்கப்பட்டன.
*   **அந்த வீரியம்:** Jupiter-இன் மாபெரும் ஈர்ப்பு விசை, சிறுகோள் பட்டைக்கு (asteroid belt) இடையில் ஹைட்ரஜன் மற்றும் ஹீலியம் வாயு மேகங்களைச் சேருவதைத் தடுத்து, அதன் தற்போதைய அமைப்பைப் பராமரிக்க உதவியிருக்கலாம்.
*   **மெல்லிய வளையங்கள்:** பலரும் ஷனியைப் பற்றி நினைத்தாலும், Jupiter-க்கும் மிகவும் மெல்லிய, மங்கலான வளைய அமைப்பு உள்ளது, அதை 1979-இல் Voyager 1 விண்கலத்தால் கண்டுபிடிக்கப்பட்டது.",25.9491,success,,sarvam-105b,0.0,19,1817,1836
21,factual_qa,ta,தண்ணீரின் வேதியியல் வாய்ப்பாடு என்ன?,H₂O,தண்ணீருக்கான கெமிக்கல் ஃபார்முலா **H₂O** (பொதுவாக H2O என்று ஒரு சாதாரண டெக்ஸ்ட் இடத்தில் எழுதப்படும்). இது ஒரு ஆக்ஸிஜன் ஆட்டமின் கோவலன்ட் பாண்டில் கோவலன்ட் முறையில் இணைந்துள்ள இரண்டு ஹைட்ரஜன் ஆட்டம்களைக் குறிக்கிறது. பல நேரங்களில் இதை **டைஹைட்ரஜன் மோனாக்சைடு** என்ற பெயராலும் அழைப்பார்கள்.,5.516,success,,sarvam-105b,0.0,21,317,338
22,factual_qa,ta,மனித உடலில் இரத்தத்தை பம்ப் செய்யும் உறுப்பு எது?,இதயம்,"மனித உடலில Blood-ஐ பம்ப் பண்றதுக்கு காரணமான **உறுப்பு heart** தான்.

### முக்கிய தகவல்கள்
| அம்சம் | விவரங்கள் |
|--------|----------|
| **வகை** | Myocardium (இதயத் தசைகள்) உருவாக்கும் ஒரு தசை உறுப்பு. |
| **அமைப்பு** | நான்கு அறைகள்: <br>• **Right atrium** – deoxygenated blood-ஐ வாங்குகிறது <br>• **Right ventricle** – oxygenation-க்காக lungs-க்கு blood-ஐ பம்ப் செய்கிறது <br>• **Left atrium** – lungs-ல இருந்து oxygenated blood-ஐ வாங்குகிறது <br>• **Left ventricle** – உடல் முழுவதும் oxygenated blood-ஐ பம்ப் செய்கிறது |
| **செயல்பாடு** | Blood-ஐ இருமுறை pump செய்கிறது: pulmonary circuit (raktham → lungs → raktham) மற்றும் systemic circuit (raktham → உடல் → raktham). |
| **அளவு மற்றும் எடை** | பெரியவர்களிடம்: சுமார் 250–350 g (≈9–12 oz) மற்றும் ஒவ்வொரு கணத்திலும் 5–7 L del blood-ஐ பம்ப் செய்யும் அளவு கொண்டது. |
| **Pump செய்யும் செயல்பாடு** | **Diastole** (தளர்வு) மற்றும் **systole** (சுருக்கம்) என்ற இந்த தாளமான சுழற்சி, வலது atrium-ல இருந்து left ventricle-க்கு blood பாய்வதற்கு ஒரு pressure gradient-ஐ உருவாக்குகிறது. |
| **கட்டுப்பாடு** | Autonomic nervous system (sympathetic ↑ rate/force; parasympathetic ↓ rate) மற்றும் heart rate மற்றும் contractility-ஐ கண்காணித்து சரிசெய்யும் உள்ளமைக்கப்பட்ட pacemaker (SA node) ஆகியவற்றால் கட்டுப்படுத்தப்படுகிறது. |
| **நெருங்கிய தொடர்புடையவை** | Coronary arteries (heart muscle-க்கு oxygenated blood-ஐ வழங்குகிறது), aortic valve (left ventricle-ல இருந்து aorta-வுக்கு), auricles (atria-வின் மேல் இருக்கும் சிறிய பைகள்), auricles, pericardial sac (இதயத்தைப் பாதுகாக்கிறது). |

### Polished pump ஃபெயிலிங் ஆகும்போது என்ன நடக்கும்?

- **Heart failure** – போதுமான blood-ஐ பம்ப் செய்ய முடியாத நிலை.
- **Coronary artery disease** – heart muscle-க்கு blood ஓட்டம் குறைவதால் ischemia மற்றும் pumping திறன் குறையும்.
- **Arrhythmias** – abnormal electrical rhythm-ஆல் effective cardiac output குறையும்.
- **Valvular disease** – valve incompetence அல்லது stenosis fill/pump செயல்பாட்டைத் தடுக்கும்.

### நினைவில் கொள்ள வேண்டிய முக்கிய குறிப்பு
மற்ற இரத்த நாளங்களின் அழுத்தத்தின் கீழ் pulsatile முறையில் சுருங்குவதன் மூலம், **heart** தான் body-wide circulatory system-ஐ உருவாக்கி பராமரிக்கிறது. இது உடலுக்குத் தேவையான oxygen, nutrients, hormones மற்றும் waste clearance-ஐ வழங்குகிறது.

---

**சுருக்கமாகச் சொன்னால்:** pumping செயல்பாட்டைச் செய்யும் muscular pump தான் **heart**, இதுதான் உடலெங்கும் blood ஓட்டத்தை உறுதியாக உருவாக்கும் ஒரே உறுப்பு.",12.8434,success,,sarvam-105b,0.0,22,841,863
